"","Genus_num","PD","MPD","MPD.z","MNTD","MNTD.z","Adult.diel.activity..Kawahara.ADA.","Lin.ADA","ADA.Notes","ADA.Source","Superfamily..group.in.Kawahara.2019","Superfamily","Family","Genus","Common.name","Habitat","Mimicry...aposematism","Mimicry..aposematism.source","Distribution","Climate.zone","Adult.active.season","Altitude","Geography.source","feeding.type","Host.range..HR.","HR..loose.","Host.plant.notes","HR.Notes","Host.type","HR.Source"
"Thyridopteryx ephemeraeformis",93,6722.758305,325.428514906498,5.37576615171263,99.6328060322581,0.433738213278899,0,"nocturnal","Active during evening and night","Kaufmann 1968","Tineoidea","Tineoidea","Psychidae","Thyridopteryx","Evergreen bagworm","anywhere where suitable conifer hostplants grow (e.g. open habitats, disturbed habitats, forests)","Cryptic grey-brown","Inferred from photo","North America, Africa, Croatia, Iran","Temperate (50N-25N)","August-September","?","Kaufmann 1968","folivore","0","0","Highly polyphagous feeding on 125 species of woody plant over 45 families. ","generalist","broadleaf tree, conifer, shrubs","Moore and Hanks 2004"
"Hyles euphorbiae",2,343.023751,35.9462,-1.99514089342327,35.9462,-2.3064473699078,0,"diurnal","diurnal","Wist 2007","Bombycoidae","Bombycoidae","Sphingidae","Hyles","Spurge hawkmoth","Disturbed meadows and valleys with dense stands of leafy spurge.","Cryptic grey-brown","Inferred from photo","Central and Eastern Europe","Temperate (50N-35N)","July-October","?","Hundsdoerfer 2005
https://www.ukmoths.org.uk/species/hyles-euphorbiae/","folivore","1","1","feed on genus Euphorbia (Euphorbiaceae). ","specialist","shrub","Hundsdoerfer et al. 2005"
"Parides eurimedes",2,349.61411,49.1268,-2.02613207446879,49.1268,-2.01206238733899,1,"diurnal","diurnal","Möhn et al. 2007","Papilionoidea","Papilionoidea","Papilionidae","Parides","Mylotes cattleheart","Tropical forests and associated edges and openings.","Aposematic, part of mimicry complex","-","Mexico to northern South America","Tropics (15N-15S)","?","?","Racheli and Pariset 1992","folivore","1","1","feed on Aristolochia grandiflora, A. nummularfolia, A. odoratissima, A. pilosa, and A. tonduzii (Aristolochiaceae)","specialist","vine, herbaceous plant","Racheli and Pariset 1992
Möhn et al. 2007"
"Yponomeuta evonymellus",2,338.157942,26.2142,-2.7729114842987,26.2142,-2.07477462143798,0,"all","active at daytime, also active at night (mating).","https://en.wikipedia.org/wiki/Bird-cherry_ermine
Hendrikse 1979","Gracillarioidea/Yponomeutoidea","Yponomeutoidea","Yponomeutidae","Yponomeuta","Bird-cherry ermine","river lowlands to the deciduous forest border in alluvial forests, on stream banks with bushes and trees as well as in gardens and parks","Cryptic grey-brown","Inferred from photo","Europe and the northern and eastern part of Asia","Tropics, Subtropics, Temperate (70N-5N)","July-August","?","https://en.wikipedia.org/wiki/Bird-cherry_ermine","folivore","1","1","Feed on  Prunus padus (Rosaceae)","specialist","broadleaf tree","Menken et al. 1992"
"Spodoptera exigua",83,4756.451826,244.054544675287,-0.9916971538791,79.7404617831325,-2.23281782472175,0,"nocturnal","nocturnal","Cheng et al. 2016","Noctuoidea","Noctuoidea","Noctuidae","Spodoptera","Beet armyworm","crop and grass fields to temperate and tropical forests","Cryptic grey-brown","Inferred from photo","Asia, but has been introduced worldwide and is now found almost anywhere its many host crops are grown","Tropics, Subtropics, Temperate (50N-50S)","year round.","?","Greenberg et al. 2001","folivore","0","0","feed on >90 species of plant, 18 families","generalist","herbaceous plant, grass","Greenberg et al. 2001"
"Phyllodes eyndhovii",2,332.494658,14.88824,-2.24981850886439,14.88824,-2.27694697721791,0,"nocturnal","adult attracted by ultraviolet light at night.","Spitsyn and Scheglova 2019","Noctuoidea","Noctuoidea","Erebidae","Phyllodes","Fruit piercing moth","The only specimen taken in recent surveys is from an area of cultivation near forest at Kundasan, at 1050m on the south slopes of G. Kinabalu.","leaf litter mimic forewing + warning coloration","Inferred from photo"," Himalayas, western China, Taiwan, Thailand, Sundaland and Palawan","Subtropics and Tropics (30N-5N)","?","1050m ","https://en.wikipedia.org/wiki/Phyllodes_eyndhovii
https://www.mothsofborneo.com/part-15-16/phyllodini/phyllodini_1_1.php","folivore","1","1","feed on Acacia (Fabaceae)","specialist","broadleaf tree","Robinson et al. 2001"
"Catoptria falsella",0,0,NA,NA,NA,NA,0,"nocturnal","","Selås V et al. 2013","Pyraloidea","Pyraloidea","Crambidae","Catoptria","?","Various","Cryptic grey-brown","Inferred from photo","Europe","Temperate (50N-60N)","June-September","?","https://en.wikipedia.org/wiki/Catoptria_falsella
https://ukmoths.org.uk/species/catoptria-falsella","folivore","1","1","host are mosses on tree trunks, especially Tortula spp. (Pottiaceae) and Barbula spp. (Pottiaceae)","specialist, feeding on one family of moss","moss","Goater 1986"
"Zygaena fausta",2,329.917504,9.73404,-2.40780149849199,9.73404,-2.56233680586647,1,"diurnal","diurnal","Hofmann and Kia-Hofmann 2012
Hofmann and Kia-Hofmann 2011","Zygaenoidea","Zygaenoidea","Zygaenidae","Zygaena","Burnet moth","dry, warm, sunny forest edges (e.g. in the French Provence), partly rocky, bushy grasslands in limestone areas. In the Alps (from Northern Tyrol and Vorarlberg on southwestward) it lives on warm places in the vicinity of Erica herbacea-rich pine forests and especially in rocky places on slopes up to 2000m above sea level. In the Iberian Peninsula and S-France Zygaena fausta is also found in coastal areas like dunes.","Aposematic","Inferred from photo","Western Europe","Temperate (50N-40N)","April-October","0-4500m","Hofmann and Kia-Hofmann 2012","folivore","1","1","feed on vetches, Coronilla spp. (Fabaceae)","specialist","herbaceous plant","Hofmann and Kia-Hofmann 2012"
"Pterodecta felderi",0,0,NA,NA,NA,NA,1,"diurnal","diurnal","Minet 2013","Calliduloidea/Thyridoidea","Calliduloidea","Callidulidae","Pterodecta","?","-","-","-"," Russian Far East, India, Japan, China and Taiwan","Subtropics and Temperate (60N-20N)","?","?","https://en.wikipedia.org/wiki/Pterodecta_felderi","folivore","1","1","feed on ferns (Onocleaceae, Osmundaceae). Due to its specialized diet on fern (in contrast to most moth that feed on seed plant, spermatophytes) we consider it specilaist.","specialist","fern","https://en.wikipedia.org/wiki/Pterodecta_felderi"
"Tridrepana flava",2,330.686152,11.2713,-2.53174992111332,11.2713,-2.3657435223279,0,"nocturnal","adults of Drepanidae are usually nocturnal. Not in Kawahara et al. 2018a.","Sen and Lin 2002","Drepanoidea","Drepanoidea","Drepanidae","Tridrepana","?","The species is infrequent in forests from the lowlands to about 2000m. ","Cryptic grey-brown","Inferred from photo","China, India, Java, Malaysia, and Taiwan","Subtropics (25N-10S)","?","?","https://en.wikipedia.org/wiki/Tridrepana_flava
Sen and Lin 2002","folivore","1","1","Feed on Eurya japonica (Pentaphylacaceae).","specialist","broadleaf tree","Sen and Lin 2002"
"Psychomyia flavida",NA,NA,NA,NA,NA,NA,2,"","","","","Hydropsychoidea","Psychomyiidae","Psychomyia","","-","Cryptic grey-brown","Inferred from photo","","","","","","","","","","","",""
"Spodoptera frugiperda",91,4766.549152,230.797065417827,-2.28344469606632,72.5886834725275,-2.79955012240244,0,"nocturnal","nocturnal","Rojas et al. 2004","Noctuoidea","Noctuoidea","Noctuidae","Spodoptera","Fall armyworm","Cultivated / agricultural land , Protected agriculture (e.g. glasshouse production) , Managed forests, plantations and orchards , Managed grasslands (grazing systems) , Industrial / intensive livestock production systems , Disturbed areas  , Rail / roadsides , Urban / peri-urban areas , Natural forests , Natural grasslands , Riverbanks, Wetlands, Scrub / shrublands , Arid regions ","Cryptic grey-brown","Inferred from photo","America, Europe, Asia","Tropics, Subtropics, Temperate (55N-45S)","year round.","?","https://www.cabi.org/isc/datasheet/29810
Silva et al. 2017","folivore","0","0","polyphagous, attack many crops","generalist","herbaceous plant, grass","Silva et al. 2017"
"Phragmatobia fuliginosa",24,1997.920266,228.853921833333,-1.17076014537719,105.976620875,-2.02561903180469,0,"nocturnal","nocturnal. Not in Kawahara et al. 2018a.","Fullard and Napoleone 2001","Noctuoidea","Noctuoidea","Erebidae","Phragmatobia","Ruby tiger","PNWmoths: This species is common in moist open forest and meadow habitats in eastern North America, but is usually uncommon to very rare in the Pacific Northwest.  West of the Cascades, it occurs in coastal grasslands near the ocean, in mixed hardwood forests at low elevations, and in open meadows or prairies of the Willamette Valley.  It also occurs in more disturbed agricultural areas at low elevations east of the Cascades. In the Columbia Basin it is found in dry sandy areas as well as near wet meadows. BugGuide: Damp shrubby or weedy areas bordering rivers, streams, marshes where food plants grow. Wikipedia: This species inhabits moist open forest and meadow areas, mixed hardwood forests at low elevations, open meadows or prairies and in agricultural areas at low elevations.[4] It is common on low-growing plants, on high-roads, railway embankments and waste fields. On warm days in the winter the larvae sometimes leave their hiding-places and are then found on fieldpaths and roads, running about quickly. ","Aposematic?","Inferred from photo","Most of Europe, North Africa, Russia, Central Asia, Tibet and in northern areas of North America","Temperate (20N-70N)"," May to August ","Low elevation","Donahue 2017
https://en.wikipedia.org/wiki/Phragmatobia_fuliginosa#Distribution","folivore","0","0","polyphagous, mainly Rubus fruticosus (Rosaceae), Prunus spinosa (Rosaceae), Filipendula ulmaria (Rosaceae), Plantago lanceolata (Plantaginaceae), Senecio jacobaea (Asteraceae), Salix repens, Salix starkeana, Salix phylicifolia (Salicaceae), Polygonum spp., Rumex crispus (Polygonaceae), Potentilla erecta, Rubus idaeus (Rosaceae), Trifolium spp. (Fabaceae), Chamaenerion angustifolium (Onagraceae), Calluna vulgaris (Ericaceae), Vaccinium myrtillus (Ericaceae), Vaccinium uliginosum (Ericaceae), Andromeda polifolia (Ericaceae), Plantago major (Plantaginaceae), Taraxacum vulgare and Taraxacum officinale (Asteraceae)","generalist","shrub and boadleaf tree","https://en.wikipedia.org/wiki/Phragmatobia_fuliginosa#Distribution
http://www.nic.funet.fi/pub/sci/bio/life/insecta/lepidoptera/ditrysia/noctuoidea/arctiidae/arctiinae/phragmatobia/#fuliginosa"
"Hebomoia glaucippe",4,430.905728,77.5267831666667,-2.66674640686237,64.60451075,-3.0063942572082,1,"diurnal","diurnal","Vane-Wright and de Jong 2003","Papilionoidea","Papilionoidea","Pieridae","Hebomoia","Great orange tip","very wide variety of habitats ranging from the arid scrubby grasslands of India to the tropical rainforests of Borneo. In temperate Asia it is mainly found in the warmer valleys.","wing underside resembles dead leaf","https://www.learnaboutbutterflies.com/Asia%20temperate%20-%20Hebomoia%20glaucippe.htm","South and Southeast Asia, Southern China and southern Japan, Taiwan","Tropics and Subtropics (35N-10S)","year round.","?","Vane-Wright and de Jong 2003","folivore","1","1","feed on Crataeva religiosa, Capparis moonii, and other Capparis spp (Capparaceae)","specialist","broadleaf tree","Hayashi et al. 1985
Vane-Wright and de Jong 2003"
"Papilio glaucus",30,2334.107617,233.736830804598,-1.14042365556404,99.6734510666667,-2.25488730647079,1,"diurnal","diurnal","Grossmueller and Lederhouse 1985","Papilionoidea","Papilionoidea","Papilionidae","Papilio","Eastern tiger swallowtail","Deciduous broadleaf woods, forest edges, river valleys, parks, and suburbs.","female sometimes mimics the blue swallowtail and others in a complex","https://animaldiversity.org/accounts/Papilio_glaucus/","Eastern North America","Subtropics and Temperate (50N-25N)","Febuary-September","?","Kukal et al. 1991","folivore","0","0","feed on 20 host species of treesand shrubsin 13 different families over its geographic range","generalist","shrub and boadleaf tree","Grossmueller and Lederhouse 1985"
"Pheosia gnoma",2,369.176758,88.2524,-1.64174559331404,88.2524,-1.73888886426037,0,"nocturnal","nocturnal","Fullard et al.1998","Noctuoidea","Noctuoidea","Notodontidae","Pheosia","Lesser swallow prominent","Woodland, heathland, parks and gardens.","Cryptic grey-brown","Inferred from photo","Northern and central Europe, Russia, eastern Siberia, Russian Far East, Amur","Temperate (70N-40N)","May-June, August","?","https://en.wikipedia.org/wiki/Pheosia_gnoma","folivore","1","1","Feed on birch (Betula spp, Betulaceae)","specialist","broadleaf tree","https://www.nhm.ac.uk/our-science/data/hostplants/"
"Epicopeia hainesii",2,372.760782,95.4208,-1.70570704846732,95.4208,-1.76103379742441,1,"diurnal","diurnal","Nishida 2017
Yen et al. 1995","Geometroidea","Geometroidea","Epicopeiidae","Epicopeia","Swallowtail moth","-","muellerian mimicry with Papilionidae butterflies from genera Byasa/Atrophaneura","https://breedingbutterflies.com/epicopeia-hainesii/","Korean, Japan and Taiwan","Subtripical and Temperate (40N-20N)","April-October","500-2000m","Yen et al. 1995","folivore","1","1","feed on Cornzascontroversa, C. macropdylla and C. kousa (Cornaceae) in Taiwan","specialist","broadleaf tree","Yen et al. 1995"
"Brahmaea hearseyi",6,520.65041,105.683596,-3.2347922876802,68.122361,-3.11792569472171,0,"nocturnal","not in the list of Kawahara et al. 2018a","Van Nieukerken et al. 2011","Bombycoidea","Bombycoidea","Brahmaeidae","Brahmaea","Owl moths","At least in part, rainforest","Cryptic grey-brown","Inferred from photo"," N.E. Himalaya, Burma, Western China, Sundaland and the Philippines.","Subtropics to Tropics","?","100-1200km","https://www.mothsofborneo.com/part-3/brahmaeidae/brahmaeidae_1_1.php","folivore","1","1","Mainly Oleaceae, some Oleaceae open their flower at night, such as genera Menodora, Jasminum.","specialist","broadleaf tree","Barlow 1982
https://www.mothsofborneo.com/part-3/brahmaeidae/brahmaeidae.php"
"Macrosoma hedylaria",NA,NA,NA,NA,NA,NA,0,"nocturnal","nocturnal with hearing oragns.","Kawahara et al. 018","Papilionoidea","Papilionoidea","Hedylidae","Macrosoma","American moth-butterflies","-","Cryptic grey-brown","Inferred from photo"," Central and South America. Eastern Colombia, the Amazonas area of Venezuela, across Brazil from the northwest to the northeast and south to below Sao Paulo in the east of that country. Peru, on either side of the Andes down to Lima in the west","Subtropics and Tropics (10N-25S)","?","?","Kawahara et al. 018","folivore","?","?","No specific record was found, but based on wikipedia, they seem to be able to utilize many host plants.","generalist or specialist","broadleaf tree","https://en.wikipedia.org/wiki/Hedylidae"
"Amphithera heteroleuca",NA,NA,NA,NA,NA,NA,1,"diurnal","diurnal","Kawahara et al. 2019","Gracillarioidea/Yponomeutoidea","Gracillarioidea","Roeslerstammiidae","Amphithera","?","-","-","-","Australia","?","?","?","Davis and Robinson 1998","?","?","?","?","?","?","?"
"Polyommatus icarus",8,589.296345,104.447180642857,-3.45122662463627,68.383599625,-3.32064368336201,1,"diurnal","diurnal","Artem’Eva 2007","Papilionoidea","Papilionoidea","Lycaenidae","Polyommatus","Common blue","This species is found in a wide variety of habitats, including unimproved grassland such as roadside verges and waste ground, downland, woodland clearings, heathland and even sand dunes.","Cryptic grey-brown","Inferred from photo","Palearctic","Subtropics and Temperate (60N-20N)","June-September","0-2700m","Artem’Eva 2007","florivore","1","1","feed on flower of legumes (Fabaceae)","specialist","herbaceous plant","Wiesen et al. 1994
Janz et al. 2005"
"Bembecia ichneumoniformis",4,424.925983,79.4632895,-3.02864466807889,59.43406075,-3.05023065776571,1,"diurnal","diurnal","Laštůvka and Laštůvka 2001","Sesioidea","Sesioidea","Sesiidae","Bembecia","Six-belted clearwing","Inhabits various locations where the food plants are present, particularly on calcareous soils including chalk downland, quarries and sea-cliffs.","Wasp mimic","Inferred from photo","Europe and North Africa","?","?","?","Laštůvka and Laštůvka 2001","rhizophagous","1","1","no record for this species but species in the same genus Bembecia scopigera is monophagous, feeding on root of Onobrychis viciifolia (Fabaceae)","specialist","herbaceous plant","Predovnik and Tschorsnig 2007
Laštůvka and Laštůvka 2001
Çiftçi et al. 2016"
"Sesamia inferens",24,926.515151,102.444796974638,-6.37312448318377,39.3519154583333,-5.17893212439049,0,"nocturnal","nocturnal","Nagayama et al. 2004","Noctuoidea","Noctuoidea","Noctuidae","Sesamia","Asiatic pink stem borer","corn crops","Cryptic grey-brown","Inferred from photo","Pakistan, India, Sri Lanka, Myanmar to Japan and the Solomon Islands","Tropics, Subtropics, Temperate (40N-10S)","year round.","?","Nagayama et al. 2004","stem borer","1","1","mainly sugarcane, and other species of Poaceae","specialist","herbaceous plant, grass","Nagayama et al. 2004"
"Agrotis infusa",9,1288.156581,330.604929888889,2.12649284412257,188.402347666667,-0.221529258694099,0,"nocturnal","famous for their nocturnal migratory behavior.","Warrant et al. 2016","Noctuoidea","Noctuoidea","Noctuidae","Agrotis","Bogong moth","forests and crop pastures","Cryptic grey-brown","Inferred from photo","Australia","Temperate (38S-25S)","September-November (spring) and March-May(autum)","around 1500m","Common 1954","folivore","0","0","Annual dicotyledons","generalist","herbaceous plant","Warrant et al. 2016"
"Plodia interpunctella",48,3844.104919,271.296528382979,0.803196608022132,103.317137541667,-1.23583661949904,0,"nocturnal","nocturnal","Cowan and Gries 2009","Pyraloidea","Pyraloidea","Pyralidae","Plodia","Indian meal moth","stored products and food storage facilities, also sometimes outdoors","Cryptic grey-brown","Inferred from photo","World wide, Tropics and Subtropics","Tropics and Subtropics (30N-30S)","year round.","?","Mohandass et al. 2007","storage grain","?","?","na","na","na","Mohandass et al. 2007"
"Maniola jurtina",7,427.312167,39.2146204761905,-4.81726023014844,31.3824007142857,-4.63211748497242,1,"diurnal","diurnal","Brakefield 1982a","Papilionoidea","Papilionoidea","Nymphalidae","Maniola","Meadow brown","grassland, woodland rides, field margins, hedgerows, road verges and even overgrown gardens.","-","-","Europe, Urals, Asia Minor, Iraq, Iran, North Africa and the Canary Islands","Subtropics and Temperate (60N-25N)","April-October","?","Grill et al. 2004","folivore","1","1","feed on grass Poa pratense (Poaceae) ","specialist","grass","Ouin et al. 2008"
"Hyposmocoma kahamanoa",0,0,NA,NA,NA,NA,1,"diurnal","diurnal","Schmitz and Rubinoff 2011","Gelechioidea","Gelechioidea","Cosmopterigidae","Hyposmocoma","Amphibious moth","-","-","-","Hawaii, Oahu","Tropics (20N)","April-September","?","Schmitz and Rubinoff 2011","folivore","0","0","feed on lichen and algae","generalist","lichen and algae","Schmitz and Rubinoff 2011"
"Therinia lactucina",0,0,NA,NA,NA,NA,0,"nocturnal","nocturnal","Smith et al. 2016","Bombycoidae","Bombycoidae","Saturniidae","Therinia","?","-","Cryptic grey-brown","Inferred from photo","South America","Tropics (20S-3S)","?","?","http://v3.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxid=178794","folivore","1","1","the only recorded host plants are Rubiaceae","?","broadleaf tree, shrub","Smith et al. 2016"
"Andesiana lamellata",NA,NA,NA,NA,NA,NA,0,"nocturnal","all species nocturnal and attracted to light.","Davis and Gentili  2003","Adeloidea/
Andesianoidea","Andesianoidea","Andesianidae","Andesiana","Andean endemic moth","Nothofagus pumilio and Nothofagus antarctica forests","Cryptic grey-brown","Inferred from photo","Argentina and Chile","Temperate zone (38S-42S)","September-January","100-1750","https://en.wikipedia.org/wiki/Andesiana_lamellata
Davis and Gentili  2003","possibly plant borer","?","?","?","biology unknown, very likely a stem borer. ","?","Davis and Gentili  2003"
"Menevia lantona",NA,NA,NA,NA,NA,NA,0,"nocturnal","adult of the family are usually nocturnal.","St Laurent and Mielke 2018","Mimallonoidea","Mimallonoidea","Mimallonidae","Menevia","?","-","Cryptic grey-brown","Inferred from photo","Central and South America","Tropics (10N-10S)","?","?","St Laurent and Dombroskie 2016","folivore","?","?","no record.","?","?","?"
"Telchin licus",2,431.784798,213.468186,-0.492904777294608,213.468186,-0.528901089657376,1,"diurnal","diurnal","Silva-Brandão et al. 2013","Cossoidea","Cossoidea","Castniidae","Telchin","Giant sugarcane borer,","Pest of sugar cane, banana, and others","somewhat cryptic","Inferred from photo"," South America, Colombia, Venezuela and the Guianas,  Amazon basin in Brazil and Peru","Tropics (10N-10S)","?","?","Silva-Brandão et al. 2013
https://en.wikipedia.org/wiki/Telchin_licus","stemborrer","0","0","feed on sugarcane Saccharum officinarum (Poaceae), also Musaceae and Heliconiaceae.","generalist ","grass","Silva-Brandão et al. 2013"
"Nemoria lixaria",3,541.509337,223.358496666667,-0.500332252936599,209.558824666667,-0.586970937360946,0,"all","diel activity experiment found that they started flying in the afternoon into the night. ","Fullard and Napoleone 2001","Geometroidea","Geometroidea","Geometridae","Nemoria","Red-bordered emerald moth","Deciduous forests","Cryptic green","Inferred from photo","North America, New Jersey to Florida, west to eastern Texas and Arkansas","Temperate (40N-25N)","April-June and July-October","?","https://bugguide.net/node/view/4509
","folivore","0","0","feed on leaves of oak, especially red oaks such as Shumard's Oak, Quercus shumardii Fagaceae). Also feed on red maple (Sapindaceae), and other woody plants. ","generalist (specialized on oak)","broadleaf tree","Wagner 2005
Matthews et al. 2014
http://moths.friendscentral.org/nemoria-lixaria-larvae.html

"
"Philopotamus ludificatus",NA,NA,NA,NA,NA,NA,2,"","","","","Philopotamoidea","Philopotamidae","Philopotamus","","-","Cryptic grey-brown","Inferred from photo","","","","","","","","","","","",""
"Enyo lugubris",7,803.170296,201.140069714286,-1.22615465482048,138.066329714286,-1.72011568687498,0,"all","flower visitor during the day. Also nocturnal.","McMullen 1986
Vieira et al. 2015","Bombycoidae","Bombycoidae","Sphingidae","Enyo","Mournful sphinx","-","Cryptic grey-brown","Inferred from photo","South America, Central America and the United States","Tropics, Subtropics, Temperate (40N-40S)","?","?","https://en.wikipedia.org/wiki/Enyo_lugubris","folivore","1","1","feed on Vitaceae","specialist","vine","https://en.wikipedia.org/wiki/Enyo_lugubris"
"Actias luna",27,2468.453476,228.151924410256,-1.41616402580049,130.815719666667,-0.666291290283488,0,"nocturnal","nocturnal","Tuskes et al. 1996","Bombycoidae","Bombycoidae","Saturniidae","Actias","Luna moth","Usually found in forested areas - UFL; AD: The luna moth occurs in the forested areas of North America. They seem to prefer decidous woodlands, with trees such as the hickory, walnut, sumacs, and persimmon. (Tuskes, et al., 1996) BG: Deciduous hardwood forests. ","Cryptic green","Inferred from photo","North America","Temperate (55N-25N)","June-September","?","Tuskes et al. 1996
https://en.wikipedia.org/wiki/Luna_moth#Distribution","folivore","0","0","Feed on at least 8 families of plant. ","generalist","broadleaf tree","Lindroth 1989"
"Mania lunus",2,443.629819,237.158227,-0.208221709133004,237.158227,-0.158273865624358,0,"nocturnal","adults are attracted to light.","Cock 2016","Geometroidea","Geometroidea","Sematuridae","Mania","Peru eyetail moth","-","Cryptic grey-brown","Inferred from photo","Central and South America","Tropics (10N-30S)","January-October","?","Cock 2016","florivore, frugivore","0","1","feed on at least Fagaceae and Myrtaceae. ","generalist","broadleaf tree","Cock 2016"
"Palaephatus luteolus",NA,NA,NA,NA,NA,NA,0,"nocturnal","attracted to UV light, and with well-developed eye.","Davis 1986","Palaephatoidea/Tischerioidea","Palaephatoidea","Palaephatidae","Palaephatus","?","forest","Cryptic grey-brown","Inferred from photo","South America, southern Chile and Argentina","Temperate (50S-30S)"," October-March","?","https://en.wikipedia.org/wiki/Palaephatus_luteolus
Davis 1986","?","?","?","No record. One species in the same genus has been recorded to feed on Ugni molinae (Myrtaceae)","?","shrub","Davis 1986
Aguilera et al. 2005"
"Papilio machaon",38,1333.843394,134.539928426743,-6.07779261444414,42.5373303684211,-5.61341997312901,1,"diurnal","diurnal","Wiklund 1975","Papilionoidea","Papilionoidea","Papilionidae","Papilio","Common yellow swallowtail","Open hilltops, mountain meadows, tundra.","-","-","North America, Europe Russia, Japan, Taiwan, China, ","Tropics, Subtropics and Temperate (70N-25N)","?","0-4900m","Dupuis and Sperling 2015","folivore","1","1","feed on species of Umbelliferae such as Angelica archangelica","specialist","herbaceous plant","Wiklund 1975"
"Zeuzerodes maculata",NA,NA,NA,NA,NA,NA,0,"?","?","?","Calliduloidea/Thyridoidea","Thyridoidea","Thyrididae","Zeuzerodes","?","-","Cryptic grey-brown","Inferred from photo","?","?","?","?","?","?","?","?","?","?","?","?"
"Hemileuca maia",15,1482.420708,220.601894857143,-1.21619744216332,128.7495616,-1.43459751589272,0,"diurnal","Diurnal","Peigler and Stone 1989","Bombycoidae","Bombycoidae","Saturniidae","Hemileuca","Buck moth","Dry woodlands with hostplant, presumably.","Aposematic? Bird droppnig mimic?","Inferred from photo","North America","Temperate (45N-25N)","September-December","?","Peigler and Stone 1989","folivore","1","1","feed on oaks, such as crub oak, Quercus ilicifolia (Fagaceae)","specialist","broadleaf tree","Peigler and Stone 1989"
"Manoba major",2,351.402695,52.704,-1.9879773588269,52.704,-1.79255524207678,0,"nocturnal","adult from the same genus can be capture at night.","Chung et al. 2020","Noctuoidea","Noctuoidea","Nolidae","Manoba","?","this species has been taken uniquely on the coast near mangrove in Brune","Cryptic grey-brown","Inferred from photo"," India, Taiwan, Japan (the Ryukyu Islands), Myanmar, Singapore, as well as on Borneo, Java, Vanuatu and New Caledonia","Tropics, Subtropics (25N-20S)","?","?","https://www.mothsofborneo.com/part-18/nolinae/nolinae_13_26.php
","folivore","?","?","only on record Terminalia (Combretaceae)","?","broadleaf tree","https://www.mothsofborneo.com/part-18/nolinae/nolinae_13_26.php"
"Bombyx mandarina",5,777.474617,234.386966,-0.404327812806924,220.5542766,0.0761271468205139,0,"nocturnal","Based on eye structure (rhabdom occupation ratio high 40-80%). ","Eguchi et al. 1985","Bombycoidea","Bombycoidea","Bombycidae","Bombyx","wild silk moth","-","Cryptic grey-brown","Inferred from photo","China, Korea, Japan","Subtripical to Temperate zone","?","500-1200m in Taiwan","https://en.wikipedia.org/wiki/Bombyx_mandarina
Lin 2005","folivore","0","0","Morus, Malus (Rosaceae), and Diopyros (Ebenaceae)  in Japan,
and on Hibiscus rosea-sinensis L (Malvaceae),
Diospyros (Ebenaceae) and Quercus variabilis
(Fagaceae) in China ","generalist","broadleaf tree","Lin  2005"
"Chlorosea margaretaria",NA,NA,NA,NA,NA,NA,0,"?","","no record found.","Geometroidea","Geometroidea","Geometridae","Chlorosea","Emerald moth","-","Cryptic green","Inferred from photo","North America ","Temperate (45N-30N)","?","?","https://en.wikipedia.org/wiki/Chlorosea_margaretaria","typically folivore (subfamily Nemoriini)","?","?","?","?","?","Pitkin 1996"
"Axia margarita",2,343.023751,35.9462,-1.99514089342327,35.9462,-2.3064473699078,0,"diurnal","different from Kawahara et al. 2018a, because they use the general behavior of the family as indication of ADA.","https://en.wikipedia.org/wiki/Axia_margarita","Drepanoidea","Drepanoidea","Cimeliidae","Axia","Gold moth","-","Yellow-pink patterned, possibly cryptic","Inferred from photo"," Morocco, Spain, Portugal, southern France, Istria and southern Carniola.","Mediterranean (35N-45N)","April-October","?","Cervantes et al. 2008","folivore","1","1","mainly Euphorbia genus (Euphorbiaceae)","specialist","shrub","Cervantes et al. 2008"
"Spinulata maruga",NA,NA,NA,NA,NA,NA,0,"?","not in the list of Kawahara et al. 2018a","Hay  1970","Cossoidea","Cossoidea","Cossidae","Spinulata","?","-","Cryptic grey-brown","Inferred from photo","Parana, Brazil","Subtropics (S25)","?","?","https://en.wikipedia.org/wiki/Spinulata_maruga","stem borer","?","?","?","?","?","?"
"Cnaphalocrocis medinalis",14,919.275307,138.392801087912,-3.52564725753085,78.8458396428571,-3.29839720610992,0,"nocturnal","This is not in Kawahara et al. 2018a.","Khan et al. 1988","Pyraloidea","Pyraloidea","Crambidae","Cnaphalocrocis","Rice leafroller","rice paddies","Cryptic grey-brown","Inferred from photo","South-east Asia, including Hong Kong, Sri Lanka, Taiwan, Thailand and most of Australia.","Subtropics, Tropics (50N-40S)","depending on the region, all year","?","https://en.wikipedia.org/wiki/Cnaphalocrocis_medinalis
Khan et al. 1988","folivore","0","0","Feed on many plants see Khan et al. 1988 (too many record to be included here)","generalist","herbaceous, grass","Khan et al. 1996
Khan et al. 1988"
"Galleria melonella",NA,NA,NA,NA,NA,NA,0,"nocturnal","nocturnal","Kwadha et al. 2017","Pyraloidea","Pyraloidea","Pyralidae","Galleria","Greater wax moth","G. mellonella can be found where honeybees are cultivated.[2]","Cryptic grey-brown","Inferred from photo","World wide","Tropics, Subtropics, Temperate (70N-70S)","year round.","?","Kwadha et al. 2017","wax feeder","?","?","na","na","na","Kwadha et al. 2017"
